NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
TiO2,coated,18.0,irregular,20000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,11.0
TiO2,coated,18.0,irregular,20000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,10.0
TiO2,coated,18.0,irregular,20000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,9.0
TiO2,coated,18.0,irregular,20000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,9.0
TiO2,coated,18.0,irregular,30000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,12.0
TiO2,coated,18.0,irregular,30000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,11.0
TiO2,coated,18.0,irregular,30000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
TiO2,coated,18.0,irregular,30000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,9.0
TiO2,coated,18.0,irregular,40000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,14.0
TiO2,coated,18.0,irregular,40000.0,p,Bacilli,Staphylococcaceae,Streptococcus pyogenes,24.0,13.0
TiO2,coated,18.0,irregular,40000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.0
TiO2,coated,18.0,irregular,40000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,11.0
TiO2,uncoated,84.0,rod,20.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,19.5
TiO2,uncoated,84.0,rod,20.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,18.0
TiO2,uncoated,84.0,rod,40.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,21.0
TiO2,uncoated,84.0,rod,40.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,20.0
TiO2,uncoated,84.0,rod,60.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,23.5
TiO2,uncoated,84.0,rod,60.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,23.0
TiO2,uncoated,84.0,rod,80.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,25.0
TiO2,uncoated,84.0,rod,80.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,23.0
TiO2,uncoated,68.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,11.0
TiO2,uncoated,68.0,spherical,20000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,13.0
TiO2,uncoated,46.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,15.0
TiO2,uncoated,46.0,spherical,20000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,19.0
TiO2,uncoated,68.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,12.5
TiO2,uncoated,68.0,spherical,20000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,14.0
TiO2,uncoated,46.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,16.0
TiO2,uncoated,46.0,spherical,20000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,21.0
TiO2,coated,5.0,spherical,25.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,24.0
TiO2,coated,5.0,spherical,25.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,22.0
TiO2,coated,5.0,spherical,25.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,17.0
TiO2,coated,5.0,spherical,25.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,14.0
TiO2,coated,68.0,spherical,50.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,25.0
TiO2,coated,68.0,spherical,50.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,35.0
TiO2,coated,68.0,spherical,50.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,27.0
TiO2,coated,68.0,spherical,50.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,18.0
TiO2,coated,68.0,spherical,50.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,22.0
TiO2,uncoated,20.0,spherical,10000.0,p,Bacilli,Enterococcaceae,Enterococcus faecalis,24.0,11.4
TiO2,uncoated,20.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,11.2
TiO2,uncoated,20.0,spherical,10000.0,p,Bacilli,Staphylococcaceae,Streptococcus faecalis,24.0,11.6
TiO2,uncoated,20.0,spherical,10000.0,p,Bacilli,Bacillaceae,Bacillus subtilis,24.0,10.5
TiO2,uncoated,20.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Yersinia enterocolitica,24.0,10.6
TiO2,uncoated,20.0,spherical,10000.0,n,Gammaproteobacteria,Morganellaceae,Proteus vulgaris,24.0,8.5
TiO2,uncoated,20.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,10.8
TiO2,uncoated,20.0,spherical,10000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,10.3
TiO2,uncoated,20.0,spherical,10000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,10.2
TiO2,uncoated,45.0,spherical,10000.0,n,Gammaproteobacteria,Morganellaceae,Proteus vulgaris,24.0,5.0
TiO2,uncoated,45.0,spherical,20000.0,n,Gammaproteobacteria,Morganellaceae,Proteus vulgaris,24.0,8.0
